datetime,max_gust_speed,main_direction
2015-01-02,10,SSW
2015-01-03,4,SE
2015-01-04,8,NW
2015-01-05,7,NNE
2015-01-06,5,SE
2015-01-07,13,WNW
2015-01-08,10,NE
2015-01-09,4,NW
2015-01-10,3,WNW
2015-01-11,4,NW
2015-01-12,17,WSW
2015-01-13,2,SE
2015-01-14,17,NE
2015-01-15,6,ESE
2015-01-16,0,C
2015-01-17,0,C
2015-01-18,3,E
2015-01-19,3,NNW
2015-01-20,4,S
2015-01-21,6,S
2015-01-22,6,S
2015-01-23,5,SSE
2015-01-24,14,ENE
2015-01-25,8,NW
2015-01-26,9,SW
2015-01-27,11,NNW
2015-01-28,7,NW
2015-01-29,10,NW
2015-01-30,7,S
2015-01-31,1,SSE
2015-02-01,5,SE
2015-02-02,1,S
2015-02-03,5,SE
2015-02-04,6,NW
2015-02-05,12,WNW
2015-02-06,4,W
2015-02-07,4,ESE
2015-02-08,4,SSE
2015-02-09,5,SE
2015-02-10,7,W
2015-02-11,5,NW
2015-02-12,6,NW
2015-02-13,12,WSW
2015-02-14,5,NNE
2015-02-15,5,S
2015-02-16,4,NW
2015-02-17,6,WNW
2015-02-18,8,NW
2015-02-19,9,NW
2015-02-20,8,NNW
2015-02-21,5,SE
2015-02-22,5,SSE
2015-02-23,5,NNE
2015-02-24,15,NE
2015-02-25,15,NE
2015-02-26,0,C
2015-02-27,6,SSW
2015-02-28,5,SSE
2015-03-01,5,SSE
2015-03-02,6,NNE
2015-03-03,5,ESE
2015-03-04,5,ESE
2015-03-05,0,C
2015-03-06,5,E
2015-03-07,2,S
2015-03-08,0,C
2015-03-09,5,NW
2015-03-10,6,NW
2015-03-11,8,NW
2015-03-12,4,NW
2015-03-13,6,WSW
2015-03-14,1,SSE
2015-03-15,0,C
2015-03-16,7,SW
2015-03-17,0,C
2015-03-18,6,NNE
2015-03-19,2,NW
2015-03-20,4,NE
2015-03-21,5,SW
2015-03-22,6,SSW
2015-03-23,5,ENE
2015-03-24,6,SSE
2015-03-25,4,NE
2015-03-26,6,WSW
2015-03-27,8,3
2015-03-28,0,C
2015-03-29,3,SE
2015-03-30,1,NW
2015-03-31,8,WNW
2015-04-01,4,SSE
2015-04-02,4,SE
2015-04-03,5,ENE
2015-04-04,5,NE
2015-04-05,10,NW
2015-04-06,9,SSW
2015-04-07,6,SE
2015-04-08,6,NE
2015-04-09,0,C
2015-04-10,0,C
2015-04-11,0,C
2015-04-12,0,C
2015-04-13,0,C
2015-04-14,3,SSE
2015-04-15,4,WNW
2015-04-16,4,SSE
2015-04-17,3,ESE
2015-04-18,6,NW
2015-04-19,0,C
2015-04-20,0,C
2015-04-21,5,SSE
2015-04-22,0,C
2015-04-23,1,NE
2015-04-24,4,WSW
2015-04-25,7,S
2015-04-26,4,SE
2015-04-27,2,NE
2015-04-28,3,SSE
2015-04-29,7,SSE
2015-04-30,5,SE
2015-05-01,3,NE
2015-05-02,0,C
2015-05-03,7,NE
2015-05-04,9,NW
2015-05-05,0,C
2015-05-06,6,NE
2015-05-07,5,SSE
2015-05-08,5,ESE
2015-05-09,7,NE
2015-05-10,5,NE
2015-05-11,7,WNW
2015-05-12,0,C
2015-05-13,0,C
2015-05-14,5,ENE
2015-05-15,6,ENE
2015-05-16,2,NE
2015-05-17,5,NE
2015-05-18,0,C
2015-05-19,0,C
2015-05-20,3,NNE
2015-05-21,7,NE
2015-05-22,3,NE
2015-05-23,5,NW
2015-05-24,7,NW
2015-05-25,0,C
2015-05-26,0,C
2015-05-27,7,NW
2015-05-28,10,NNW
2015-05-29,8,NW
2015-05-30,9,NW
2015-05-31,0,C
2015-06-01,0,C
2015-06-02,0,C
2015-06-03,3,NE
2015-06-04,0,C
2015-06-05,2,NE
2015-06-06,5,NW
2015-06-07,0,C
2015-06-08,4,WSW
2015-06-09,2,W
2015-06-10,3,WNW
2015-06-11,7,NW
2015-06-12,0,C
2015-06-13,8,WNW
2015-06-14,10,NW
2015-06-15,5,NW
2015-06-16,0,C
2015-06-17,4,NNE
2015-06-18,14,SW
2015-06-19,6,SSE
2015-06-20,7,ENE
2015-06-21,3,NE
2015-06-22,0,C
2015-06-23,4,SSE
2015-06-24,7,SSE
2015-06-25,5,E
2015-06-26,6,NE
2015-06-27,4,NE
2015-06-28,4,N
2015-06-29,6,NNW
2015-06-30,13,NW
2015-07-01,5,WNW
2015-07-02,3,SE
2015-07-03,8,NW
2015-07-04,8,NW
2015-07-05,0,C
2015-07-06,7,NE
2015-07-07,6,NNW
2015-07-08,11,NW
2015-07-09,13,WNW
2015-07-10,0,C
2015-07-11,9,NW
2015-07-12,6,NNW
2015-07-13,5,NNW
2015-07-14,9,NW
2015-07-15,2,SSW
2015-07-16,0,C
2015-07-17,0,C
2015-07-18,1,SSE
2015-07-19,5,NW
2015-07-20,7,NW
2015-07-21,4,WSW
2015-07-22,4,ESE
2015-07-23,7,NE
2015-07-24,6,NE
2015-07-25,0,C
2015-07-26,3,NW
2015-07-27,0,C
2015-07-28,0,C
2015-07-29,0,C
2015-07-30,0,C
2015-07-31,0,C
2015-08-01,0,C
2015-08-02,7,NNW
2015-08-03,8,WNW
2015-08-04,0,C
2015-08-05,4,NNW
2015-08-06,0,C
2015-08-07,0,C
2015-08-08,0,C
2015-08-09,7,NE
2015-08-10,4,NE
2015-08-11,3,E
2015-08-12,0,C
2015-08-13,0,C
2015-08-14,0,C
2015-08-15,5,NNW
2015-08-16,4,ESE
2015-08-17,5,ENE
2015-08-18,8,N
2015-08-19,13,NW
2015-08-20,5,SSE
2015-08-21,5,ENE
2015-08-22,3,NE
2015-08-23,7,NW
2015-08-24,4,NE
2015-08-25,7,NNE
2015-08-26,5,NE
2015-08-27,6,S
2015-08-28,3,E
2015-08-29,5,NW
2015-08-30,0,C
2015-08-31,5,NNW
2015-09-01,9,SSE
2015-09-02,4,SE
2015-09-03,0,C
2015-09-04,3,S
2015-09-05,5,ENE
2015-09-06,6,NNE
2015-09-07,10,NW
2015-09-08,9,WNW
2015-09-09,7,NNW
2015-09-10,10,NNW
2015-09-11,10,NW
2015-09-12,0,C
2015-09-13,2,E
2015-09-14,2,SE
2015-09-15,5,NE
2015-09-16,12,NW
2015-09-17,7,NNW
2015-09-18,4,NW
2015-09-19,5,S
2015-09-20,4,SSE
2015-09-21,0,C
2015-09-22,4,SSE
2015-09-23,6,W
2015-09-24,8,NW
2015-09-25,10,S
2015-09-26,6,N
2015-09-27,5,NNE
2015-09-28,15,W
2015-09-29,5,NW
2015-09-30,4,SE
2015-10-01,0,C
2015-10-02,5,NE
2015-10-03,8,S
2015-10-04,0,C
2015-10-05,4,SE
2015-10-06,0,C
2015-10-07,7,WNW
2015-10-08,6,NE
2015-10-09,3,SSE
2015-10-10,6,SW
2015-10-11,2,S
2015-10-12,0,C
2015-10-13,5,SE
2015-10-14,5,NE
2015-10-15,8,NNW
2015-10-16,6,SSE
2015-10-17,5,SSE
2015-10-18,4,SE
2015-10-19,5,ENE
2015-10-20,8,NW
2015-10-21,7,NW
2015-10-22,10,NE
2015-10-23,0,C
2015-10-24,6,SE
2015-10-25,3,E
2015-10-26,5,NE
2015-10-27,0,C
2015-10-28,0,C
2015-10-29,5,SE
2015-10-30,7,ENE
2015-10-31,5,NE
2015-11-01,0,C
2015-11-02,5,NE
2015-11-03,4,NW
2015-11-04,7,NW
2015-11-05,0,C
2015-11-06,0,C
2015-11-07,0,C
2015-11-08,0,C
2015-11-09,5,SSW
2015-11-10,0,C
2015-11-11,16,SW
2015-11-12,0,C
2015-11-13,16,SSW
2015-11-14,10,S
2015-11-15,0,C
2015-11-16,0,C
2015-11-17,5,SW
2015-11-18,5,WNW
2015-11-19,8,WNW
2015-11-20,8,NW
2015-11-21,4,SE
2015-11-22,6,NE
2015-11-23,0,C
2015-11-24,7,W
2015-11-25,0,C
2015-11-26,4,SSE
2015-11-27,7,NE
2015-11-28,7,NW
2015-11-29,0,C
2015-11-30,6,SSE
2015-12-01,4,E
2015-12-02,3,SE
2015-12-03,0,C
2015-12-04,3,SE
2015-12-05,8,SW
2015-12-06,0,C
2015-12-07,2,NE
2015-12-08,3,SE
2015-12-09,6,NNW
2015-12-10,9,WNW
2015-12-11,3,NW
2015-12-12,8,SSE
2015-12-13,8,NNW
2015-12-14,12,NNW
2015-12-15,8,NW
2015-12-16,0,C
2015-12-17,2,ENE
2015-12-18,7,W
2015-12-19,10,NE
2015-12-20,0,C
2015-12-21,5,SSE
2015-12-22,9,NE
2015-12-23,8,NNW
2015-12-24,7,NNW
2015-12-25,7,N
2015-12-26,9,E
2015-12-27,9,NW
2015-12-28,10,NW
2015-12-29,8,NNW
2015-12-30,10,NNW
2015-12-31,11,NW
2016-01-01,4,NW
